place_id;name;zone;zona_cat;rating;total_reviews;price_level;rango_precio;primary_type;tipo_comida;calificacion_cat;sentimiento;cluster;cluster_label
ChIJATXfhXGnrI8RhYHcIpsM3Ts;Austin Mama's | Corozal (Railroad Station);Albrook Mall area;Albrook;4.8;1498;Desconocido;Medio ($$);barbecue_restaurant;Americana;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJh0vrdSqmrI8Rl2R-q_JF62M;Embassy Club Cafe;Albrook Mall area;Albrook;4.5;201;Moderado ($$);Medio ($$);cafe;Cafetería;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJ4-3FJ5GorI8RgwWILvnfinI;Restaurante El Trapiche | Albrook Mall;Albrook Mall area;Albrook;4.5;4075;Moderado ($$);Medio ($$);panamanian_restaurant;Panameña;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJJyaYsZmorI8R4qiIKS3tEa0;Pizzería Giorgio's | Albrook Mall;Albrook Mall area;Albrook;4.5;1474;Moderado ($$);Medio ($$);italian_restaurant;Italiana;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJr6YBq5morI8R2WtSnWTdjJw;Fantastic Casino;Albrook Mall area;Albrook;4.2;770;Desconocido;Medio ($$);casino;Fusión;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJeZAuBX6nrI8R9nLOd8vDogE;Casi Cielo Brunch & Coffee;Balboa;Albrook;4.8;97;Desconocido;Medio ($$);cafe;Cafetería;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJkwbHKqqnrI8REWYkePuLx-M;Teatro Escondido;Balboa;Albrook;4.8;66;Desconocido;Medio ($$);bar;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJ2yCQ_B2mrI8RBzikvgguKZ0;Kotowa Coffee House | Albrook;Balboa;Albrook;4.7;751;Moderado ($$);Medio ($$);coffee_shop;Cafetería;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJRYdSdx6mrI8RfqniCmGedaI;Grand Deli Gourmet | Albrook;Balboa;Albrook;4.6;1863;Moderado ($$);Medio ($$);cafe;Cafetería;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJu5cyo3uprI8ReCVTolBEx4c;Starbucks | Albrook Mall;Balboa;Albrook;4.5;2341;Moderado ($$);Medio ($$);cafe;Cafetería;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJ22nGdB6mrI8RESOKNjBBg-c;Nación Sushi;Balboa;Albrook;4.5;2225;Moderado ($$);Medio ($$);sushi_restaurant;Japonesa;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJRfJlP0enrI8Rfu_LOsYkbAk;The Coffee Bean & Tea Leaf | Albrook;Balboa;Albrook;4.5;89;Desconocido;Medio ($$);coffee_shop;Cafetería;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJ956-iriprI8R-ku_pMsYHE8;Paul | Albrook;Balboa;Albrook;4.5;525;Desconocido;Medio ($$);french_restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJnby7GqSorI8RXT671o8CzpE;Super Xtra;Balboa;Albrook;4.4;2750;Desconocido;Medio ($$);supermarket;Cafetería;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJAQN3DqKorI8RGdzWAEBBRtI;TGI Friday's | Albrook Mall;Balboa;Albrook;4.4;1880;Moderado ($$);Medio ($$);american_restaurant;Americana;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJd-0V5B6mrI8RC4ftkIdUH9w;Wendy's;Balboa;Albrook;4.4;1396;Económico ($);Económico ($);fast_food_restaurant;Fast Food;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJla5Z1_inrI8R-566MWcUf-o;Wetzel's Pretzels Panamá | Albrook;Balboa;Albrook;4.3;20;Desconocido;Medio ($$);coffee_shop;Cafetería;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJ1-CuBh-mrI8RE29hR4yXpZE;Palo 'e Mango Garden Spot;Balboa;Albrook;4.3;760;Moderado ($$);Medio ($$);bar;Fusión;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJu173mx-mrI8Rd7msi6hAx7c;Albrook Gol;Balboa;Albrook;4.3;180;Desconocido;Medio ($$);german_restaurant;Alemana;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJoccJOaKorI8RrhgMT6myx2M;Athanasiou | Albrook Mall;Balboa;Albrook;4.3;703;Moderado ($$);Medio ($$);bakery;Cafetería;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJf-49T6qorI8RHIyIxy7EM2o;Niko's Café;Balboa;Albrook;4.2;4637;Moderado ($$);Medio ($$);panamanian_restaurant;Panameña;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
